company,job_title,job_id,job_type,salary_range,salary_freq,level,industry,job_description,requirements
Company Undisclosed,Data Analyst, JOB-2019-0086824 ,"Permanent, Full Time","$5,000to$6,000",Monthly,"Middle Management, Manager",Information Technology,"Roles & ResponsibilitiesData Anaytics   Confirms project requirements by studying user requirements; conferring with others on project team.   Maintains data dictionary by revising and entering definitions.   Maintains client confidence and protects operations by keeping information confidential.   Maintains technical knowledge by attending educational workshops; reviewing publications; establishing personal networks; participating in technical societies.   Determines changes in physical database by studying project requirements; identifying database characteristics, such as location, amount of space, and access method.   Changes database system by coding database descriptions.   Protects database by developing access system; specifying user level of access.   Maintains user reference by writing and rewriting database descriptions.   Analyse and manipulate data using SQL Server, R and Excel (primary tools)   Support modelling and forecasting processes work with the consulting and management teams to understand what they want to achieve and advise them regarding a stepped approach to achieving this goal   Support the development of new products to improve internal efficiency and to better service client needs   Introduce and implement new IT software and architecture   Identify any areas where additional SQL knowledge beyond your own may be required in order to achieve the optimum result   Manage reporting activities and ensuring they are run in an accurate manner   Assist in developing a coherent platform of tools with a long term vision   Develop advanced analytics and data warehousing solutions   Build reporting suites for various areas of the business and advise on best technology   Exposure to data strategy and comfortable guiding managers in how to best utilise data   Development of predictive statistics and forecasts   Build metrics and KPI for relevant reporting   Data visualisation using Tableau, Microsoft Power BI or similar   Comfortable working with at least one Statistics tool such as SAS, SPSS or R   Analysing and understanding various data sources and utilising your previous experience to extract data  ",Requirements Degree holders Prior experience in data analytics Good skillsets on Tableu or BI tools or equivalent Able to start work asap 
99 PTE. LTD.,Data Analyst, JOB-2019-0084808 ,"Permanent, Full Time","$3,600to$4,000",Monthly,Junior Executive,Engineering,"Roles & Responsibilities99.co is looking for a Data Analyst to join our diverse team of people who are passionate about taking the real estate industry properly into the age of technology through innovation and a desire to solve its multitude of challenges.  A numbers person, a communicator and a storyteller all in one, the analyst would partner closely with the product team to identify new opportunities and translate data to useful and actionable insights; steering and guiding the company in making an effective product and business decisions.  What you'll do:  Take ownership in delivering prompt, accurate and reliable data analysis in your area of ownership Partner closely with product and business teams on strategic deep dives, plan data metrics, and ad-hoc data requests Identify, analyse, and interpret trends or patterns in complex data sets Source and analyse consumer and agent behaviour data to help us improve existing algorithms Partner with business leads to understand, predict and provide solutions for the respective teams' data needs Locate and define new process improvement opportunities Taking lead on projects, as needed.    ","RequirementsWhat you are/have/will be:  2-3 years of working experience in a Business Intelligence or Analytics role is highly preferred, exceptional fresh graduates will be considered Proficiency in SQL is a must Familiarity with Python and R is a + Ability to embrace both the charms of individuality and teamwork Strong critical thinking with the ability to organise and prioritise data requirements and needs from business stakeholders in a logical manner Detail oriented and able to work efficiently in a fast-paced team environment Excited about learning new technologies and translating data into business solutions Detail-oriented or someone who reads everything and will paste an html peace character somewhere in your application ;) "
99 PTE. LTD.,Senior Data Analyst, JOB-2019-0084708 ,"Permanent, Full Time","$5,500to$7,500",Monthly,"Professional, Executive, Senior Executive",Engineering,"Roles & Responsibilities99.co is looking for a Senior Data Analyst to join our diverse team of people who are passionate about taking the real estate industry properly into the age of technology through innovation and a desire to solve its multitude of challenges. A numbers person, a communicator and a storyteller all in one, the analyst would partner closely with the product team to identify new opportunities and translate data to useful and actionable insights; steering and guiding the company in making effective product and business decisions. What you'll do:  Take ownership in delivering prompt, accurate and reliable data analysis in your area of ownership Partner closely with product and business teams on strategic deep dives, plan data metrics, and ad-hoc data requests Identify, analyse, and interpret trends or patterns in complex data sets Source and analyse consumer and agent behaviour data to help us improve existing algorithms Partner with business leads to understand, predict and provide solutions for the respective teams' data needs Locate and define new process improvement opportunities Taking lead on projects, as needed. ","RequirementsWhat you are/have/will be:  4-6 years of working experience in an analytics role is preferred Familiarity with Python and SQL, R is a bonus Able to embrace both the charms of individuality and teamwork Strong critical thinking with the ability to organise and prioritise data requirements and needs from business stakeholders in a logical manner Detail oriented and be able to work efficiently in a fast-paced team environment Always excited in learning new technologies and translating data into business solutions Detail-oriented or someone who reads everything and will paste an html peace character somewhere in your application ;) "
GROUPM SINGAPORE PTE. LTD.,Data Analyst, JOB-2018-0208424 ,Full Time,"$3,000to$4,600",Monthly,Executive,Advertising / Media ,"Roles & ResponsibilitiesOverview of job You will support senior colleagues in achieving the efficient delivery of econometric analysis. Typical responsibilities and duties are the preparation of data (cleaning and performing required ETL operations), contributing to the building and interpretation of models and helping to write results and implications. Reporting of the role This role reports to the Project Manager 3 best things about the job:  Be part of a dynamic team, responsible for harnessing the power of data and technology to provide timely, actionable business insights to our clients Be part of a global Centre of Excellence and work for clients across the globe Learn and develop yourself in cutting edge technologies and platforms in the field of data and analytics  Measures of success – In three months:  Undertake data extraction, manipulation, formatting and analysis Analyze datasets to ensure that each KPI is understood and can be explained back to the team. Ensure that all tables, charts and other information produced by you or others has been checked for accuracy and formatted to Gain Theory standards before passing on to senior project team. Provide support to more senior colleagues in data collection including the preparation and sending of data requests, chasing outstanding data and querying data with clients and agencies. Help the broader team in writing intermediate presentation decks, like data validation.  In six months:  Assist in the building of comprehensive econometric models according to the project specification. Validate models, identify areas of weakness, suggest and test improvements and ensure robustness and validity. Help to run scenarios required to answer client objectives.  In 12 months:  Actively seek more efficient ways of doing things for yourself and others and turn suggestions into actions including in service and product development. Demonstrate flexibility and work across multiple clients and projects at a time as directed by your project manager  About Gain Theory Gain Theory is a global marketing foresight consultancy that brings together data, analytics, technology solutions and consumer-insight capabilities to help marketing and insight professionals make smarter, faster, predictive business decisions. Gain Theory is a part of GroupM and WPP. WPP is the world leader in communication services focusing on advertising, media investment management, consumer insight, public relations and branding among others. GroupM is WPP’s consolidated media investment management operation. As such, it is the global number one media investment management group (RECMA 2010) with worldwide billing of $90.8Bn (RECMA July 2012) representing 32.7% global market share. Gain Theory Values: FAST Framework Here at Gain Theory, we are passionate about making a meaningful difference to business performance – to improve marketing efficiency, to grow market share and to see baseline profits and share price growth.  Our goal is to deliver ongoing decision-making support, rather than a report that ‘collects’ dust on the shelf. Our values and philosophy are summed up though our FAST doctrine: Forward Thinking: Demonstrate personal initiative; Think of ways to streamline and make processes faster; Anticipate future issues and adapt approach to address these; Solve problems with limited support from others; Monitor own work performance and prioritise appropriately; Use initiative to create solutions to get the job done. Active: Build understanding of internal stakeholders necessary to deliver effective performance; Work collaboratively with others; Remain factual, open and accept responsibility; Build rapport based on mutual respect, trust and collaboration; Understand who to direct questions to by subject matter at each appropriate level; Play a role in an area focused on driving the company forward (beyond personal gain). Simplicity: Build an understanding of value vs. effort for given tasks; Be more commercial, less academic; Develop an understanding of what Gain Theory does and the company’s philosophy; Communicate clearly and concisely; Present data and conclusions in a logical and transparent way; Break down information and problems to derive solutions. Transparent: Deliver to time and meet quality expectations in all aspects of your role; Be recognised by others as someone who delivers what they say they will and can direct others to do so; Cultivate strong organisational and time management skills; Apply experience and common sense to complete tasks. Who are Gain Theory?  Gain Theory is a global marketing foresight consultancy that brings together data, analytics, technology solutions and consumer-insight capabilities to help marketing and insight professionals make smarter, faster, predictive business decisions.   Gain Theory is a part of GroupM and WPP. WPP is the world leader in communication services focusing on advertising, media investment management, consumer insight, public relations and branding among others. GroupM is WPP’s consolidated media investment management operation. As such, it is the global number one media investment management group (RECMA 2010) with worldwide billing of $90.8Bn (RECMA July 2012) representing 32.7% global market share.   Gain Theory Values: FAST Framework   Here at Gain Theory, we are passionate about making a meaningful difference to business performance – to improve marketing efficiency, to grow market share and to see baseline profits and share price growth. Our goal is to deliver ongoing decision-making support, rather than a report that ‘collects’ dust on the shelf.   Our values and philosophy are summed up though our FAST doctrine:  Forward Thinking: Demonstrate personal initiative; Think of ways to streamline and make processes faster; Anticipate future issues and adapt approach to address these; Solve problems with limited support from others; Monitor own work performance and prioritize appropriately; Use initiative to create solutions to get the job done.   Active: Build understanding of internal stakeholders necessary to deliver effective performance; Work collaboratively with others; Remain factual, open and accept responsibility; Build rapport based on mutual respect, trust and collaboration; Understand who to direct questions to by subject matter at each appropriate level; Play a role in an area focused on driving the company forward (beyond personal gain).   Simplicity: Build an understanding of value vs. effort for given tasks; Be more commercial, less academic; Develop an understanding of what Gain Theory does and the company’s philosophy; Communicate clearly and concisely; Present data and conclusions in a logical and transparent way; Break down information and problems to derive solutions.   Transparent: Deliver to time and meet quality expectations in all aspects of your role; Be recognized by others as someone who delivers what they say they will and can direct others to do so; Cultivate strong organizational and time management skills; Apply experience and common sense to complete tasks. ","RequirementsResponsibilities of the role:  Essential skills, knowledge and experience:  Excellent knowledge of Excel, common econometrics packages and PowerPoint. Strong analytical skills; ability to analyze raw data, manipulate the same, draw conclusions, and develop actionable recommendations.  Desirable skills, knowledge and experience:  Experience manipulating and processing media and marketing data (i.e. GRPs, Impressions, Reach, Clicks) from a variety of sources. Skill in data visualization software such as Tableau, Datorama or Power BI etc. An advanced understanding of time-series econometric modelling. Knowledge in other relevant advanced software such as Access, VBA, Python (with pandas), SQL, R, SAS etc. Experience in the manipulation of Nielsen or IRI data "
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Senior Business Data Analyst, JOB-2019-0084630 ,Full Time,"$9,000to$14,999",Monthly,"Professional, Senior Executive",Banking and Finance,"Roles & ResponsibilitiesAbout Standard Chartered  We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.   To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.  We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base. The Role Responsibilities  - Support Business Project Manager from scoping, planning and approach definition through to execution  - Develop a detailed understanding of all areas of the Group CLM Systems, Policy and Procedures  - Drive requirements gathering and produce analysis artifacts to drive change initiatives  - Assist with the roll-out of releases, including User Acceptance Testing (UAT), User  Verification Test (UVT, as part of Project go live  - Development of Data Models (Entity Level), Data Dictionaries, Data standards and system Mappings  - Organize Oversee data profiling activities from IT and offshore business analysts to support enrichment and remediation activities.  - Engage with ITO to ratify ETL methodologies and results.  - Support the engagement of key stakeholders across client facing divisions, Legal and Compliance and Financial Crime Risk, etc.  - Facilitate relevant Working Groups  - Occasional need to work on weekends to support testing and go live activities","RequirementsOur Ideal Candidate  - Experience in data modelling and definition  - Experience in requirement gathering  - Experience in data profiling  - Understanding of data governance  - Ability to take initiative, identify opportunities and work with minimal management oversight  - Interpersonal skills in networking, influencing and decision taking  - Subject matter expertise in Client Lifecycle Management and Client Due Diligence systems and process  - Strong communication skills – oral, written and presentation  - Knowledge of CIB, CB and BB business segments, client types, systems and product offerings  - Experience in a relevant transformation programme as a Senior Business Analyst would be an advantage  - Weighs up benefits of short term tactical and long term strategic options to ensure solutions are delivered to the appropriate scale, scope and timing  - Experience in either Waterfall and Agile Project Management methodologies (experience in both would be an advantage)  - Knowledge of the regulatory environment and the ongoing developments  - Process, commercial and operational awareness needed to develop appropriate solutions. How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1900008841&lang=en  to apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com. To help speed up your application, please note the following:  You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application  It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential."
BLUECHIP PLATFORMS ASIA PTE. LTD.,Business Analyst (Data), JOB-2019-0084944 ,Full Time,Salary undisclosed,,Senior Executive,"Accounting / Auditing / Taxation, Banking and Finance","Roles & ResponsibilitiesOur client is a leading US based hedge fund with global presence. Due to expansion of their APAC business, they are looking to hire a Business Analyst for their Singapore office.   Job Responsibilities Reporting to the VP of data, you would be responsible for analyzing reference data needs of various user areas, identify patterns, structures and data life-cycle. You would also be in charge of building requirements for Data-Model and translate business requirements into functional requiremnets for development.    Requirements/Qualifications   7-10 years of work experience as a BA/PM in the financial industry with specialization in Security Master  Strong analytical skills to identify patterns of data and structures to correlate data from multiple sources  Strong organization and documentation skills  Strong SQL skills to work with large volumes of data  Strong communication and interpersonal skills to work with a global team  Familiarity with institutional trading workflows and technology  Working knowledge of OTC Products is a plus  Experience with Agile methodology is desirable  Experience with Asset control is a big plus  Able to prioritize in a fast moving, high pressure, constantly changing environment ",Requirements**Apply here** https://www.bluechipcareers-asia.com/jobDetails/4923/business-analyst-data For more Banking and Finance Jobs visit us at: https://www.bluechipcareers-asia.com
ZENDESK SINGAPORE PTE. LTD.,"Senior Analyst, Sales Operations", JOB-2019-0061534 ,Full Time,"$7,000to$9,000",Monthly,Executive,Others,"Roles & ResponsibilitiesAs a Sales Operations Data Analyst on the Go To Market Operations team at Zendesk, you will be working cross-functionally with Sales, Marketing, and IT stakeholders in all regions to streamline our Lead-To-Cash process. This role is a mix of market intelligence, market analysis, strategy, and business operational support. It requires a strong analytical mindset with the ability to provide sound strategic advice and practical operational insight to stakeholders. You will gain experience in key functional areas such as strategy, sales, finance, and analytics. The role will report to the Manager, GTM Sales Operations APAC and will collaborate with finance, field marketing, sales, pre-sales and customer success. What you bring to the table:  The successful candidate will have relentless curiosity, and possess a passion for creating innovative analysis to identify growth opportunities. Moreover, he or she will excel at developing recommendations that transcend the numbers Ideally, the candidate will be ambitious and results-oriented – an analytical whiz with outstanding communication skills, high initiative, and strong drive to lead change The successful candidate is someone who makes value out of data and proactively fetches information from various sources and analyzes it for better understanding about how the business performs, and will look to automate certain processes We are looking for a Sales Operations Data Analyst that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to drive incremental sales productivity Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our systems  What you will do everyday:  Selecting features, building and optimizing classifiers using machine learning techniques Data mining using state-of-the-art methods Extending Zendesk’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytic systems Processing, cleansing, and verifying the integrity of data used for analysis Doing ad-hoc analysis and presenting results in a clear manner Creating automated anomaly detection systems and constant tracking of its performance Prepare analysis and recommendations for strategic decision making Lead ongoing analysis of business performance and present recommendations to GTM leadership for strategic decision making and investment Identify opportunities to improve business processes and generate a functional requirements document Create and drive adoption of new business and system processes for operational efficiency Monitor data and performance of sales and marketing activities to identify trends or issues with data quality Create and manage dashboards and reports for the sales teams     ","Requirements Exceptional problem-solving skills: demonstrated ability to structure complex problems, develop solutions, and craft high-quality presentations to senior management Highly collaborative, team player who can work cross-functionally Understanding of software industry / SaaS sales and marketing models is a plus Minimum 5 years experience in a business/system analysis role High Salesforce.com aptitude Experience with a business intelligence tool and data visualisation Proficient in Excel/PowerPoint/Google Sheets/Google Slides Excellent written and verbal communication skills Bachelor's degree in Business or related degree Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests etc Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc Experience with data visualisation tools, such as D3.js, GGplot, etc Proficiency in using query languages such as SQL, Hive, PigExperience with NoSQL databases, such as MongoDB, Cassandra, HBaseGood applied statistics skills, such as distributions, statistical testing, regression, etc Data-oriented personality with an eye for detail "
CHEIL SINGAPORE PTE. LTD.,Data Planner, JOB-2019-0085268 ,Full Time,"$5,000to$6,000",Monthly,Professional,Advertising / Media ,Roles & ResponsibilitiesCDM solution consulting to SAMSUNG SEA(South East Asia) RHQ client  CDM project leading      [ Planning ] Hands on CDM solution proposal based on the data analysis insight     [ Project management ] Time & Resource management to deliver the output     [ Account service ] Client communication & Expectation management  Project coverage  1] Facebook deep dive attribution analysis & action recommendation  FB campaign execution data give (FB AD account access of SAMSUNG SEA 8 countries) Conversion attribution analysis & FB campaign strategy recommendation  2] Samsung.com performance analysis report  Samsung.com visit analysis (through Adobe analytics access of SAMSUNG SEA 8 countries) Monthly Samsung.com visit performance analysis   Supportive resource in project  Data engineer & scientist (shared service in team) to process the data in technical level Data analyst & technician (Dedicated resource) to pull out actual performance metrics   ,"RequirementsCapability to build marketing plan based on consumer data analysis Data marketing planning expertise with more than 6-7 years career experience  [Technical background] Data analytics  Know how to analyze the data points to understand the consumer journey  Full Facebook hands on experience from campaign planning / execution / performance analytics Actual Facebook account running experience (FB AD account) Basic web analytics experience (Adobe analytics or Google analytics) Advanced data analytics knowledge and skills will be optional plus (SQL, Python, etc.)   [Marketing background] Marketing planning  Know how to build up marketing (campaign) plan based on the data insight analysis  Strategic thinking process : how to utilize the data points to build up consumer journey hypothesis Data story telling - how to deliver the message with logical story telling by utilizing the data points Good presentation skills - Build up the idea as good looking presentation format (Power Point)   [Business background] Account servicing  Know how to deal with project with the client  Timeline  & Resource management : Mange the resource to deliver the output along to the timeline Client communication & expectation management : Deal with client expectation with proper communication level   "
Company Undisclosed,Data Analyst, JOB-2019-0084995 ,Permanent,"$3,600to$5,400",Monthly,"Professional, Executive","Banking and Finance, Insurance","Roles & Responsibilities support the offering of new services and business models through advanced Machine learning and deep learning methods collaborate closely with senior analytics team members, underwriters, client managers, the IT department, and with relevant analytics teams across the globe assist in as well as apply Machine Learning (ML) and Deep Learning (DL) methods to interpret data (images, structured, unstructured) and build solutions to and solve real problems our clients are facing today ","Requirements At least a Master’s degree in Business Analytics, Statistics, applied mathematics, information technology, engineering, computer science, or a comparable discipline Solid theoretical and practical knowledge of ML and DL methods and experience in relevant tools/languages such as Python, R, SQL Some experience in internship roles in data science team in the industry is a plus Ideal candidate is committed, motivated, a good team player, willing to learn new tools and technologies, and be willing to step outside their comfort zone, has very good command of English. "
TALENTVIS SINGAPORE PTE. LTD.,DATA ANALYST, JOB-2019-0084473 ,Full Time,"$5,500to$7,000",Monthly,Professional,Information Technology,"Roles & Responsibilities Design and develop data models to aid reporting and forecasting Manipulate, clean and process data using Excel, my SQL, and Tableau. Responsible for loading, extracting and validation of campaign data and perform system check daily. Create customized dashboards using software and maintain the metrics database. Provide daily / weekly / monthly KPI reports to team and top management to review the performance. Supply specified qualitative and quantitative data in support of team and management requests. Analysis of data and deriving actionable outcomes ","Requirements   At least 2-3 years of work experience as a data analyst or in the related field Strong in business acumen, driven to deliver before the project deadline Bachelor degree in computer science, computer engineering, information systems, or a related discipline Expertise in monitoring systems, computer networks, data structure, system development, and software engineering etc. Ability to analyze existing tools and databases and provide software solution recommendations "
DENTSU AEGIS NETWORK HUB2050,Data Science Analyst, JOB-2019-0083866 ,"Permanent, Full Time","$4,000to$8,000",Monthly,Junior Executive,Sciences / Laboratory / R&D,"Roles & ResponsibilitiesBACKGROUND: About Dentsu Aegis Network Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com/   About Dentsu Aegis Network’s Global Data Innovation Centre As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into intelligent applications, products and platforms.   The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group stays at the forefront of the digital economy and develops global products which sit at the intersection of deep domain knowledge, consumer psychology, data and technology.   KEY ACCOUNTABILITIES: As a Data Science Analyst, you will work closely with the Data Scientists and the engineering team to develop leading edge data analytics solutions and capabilities that uncovers insights from vast amounts of structured and unstructured data, through a combination of research and experimentation.   On a day to day basis, your responsibilities can comprise of:  Apply quantitative methods and build statistically valid and scalable algorithms that convey actionable conclusions from very large datasets. You should be able to synthesize scientific publications on statistical applications and then write programs to implement the applications that are most suitable for our data. Complete tasks effectively and in a timely manner. ","Requirements​​We invite people passionate about data and artificial intelligence to join a growing team.  You have to be a self-starter, hands-on builder and collaborative team player. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world. Desired Skills and Experience  1+ years of experience in applied data science. At least a Bachelor’s degree in Mathematics, Statistics, Computer Science, Engineering or Information Systems. Familiar with Python programming, including pandas and NumPy libraries. Working knowledge in machine learning / data mining. Highly logical, systematic, independent and fast learner. Self-starter and motivated. Confident, responsible and can proactively think of and implement solutions to tricky problems.​ "
ERNST & YOUNG ADVISORY PTE. LTD.,"Associate, Advisory Data and Analytics", JOB-2019-0083433 ,Full Time,"$3,000to$6,000",Monthly,Executive,Consulting ,"Roles & ResponsibilitiesPowered by big data and advanced technologies, insights from analytics are disrupting everything from how companies create competitive advantage to day-to-day business processes. But companies don’t have analytics problems; they have business problems that analytics can address.  Our view is that the human element is just as critical as technology and data to realizing true value from analytics.  This involves individual and organizational considerations that become the bridge from data to insights to action.      The opportunity  As a Senior Consultant, you will deliver value-added services to our clients and you are required to be a specialist in managing both structured and unstructured enterprise data and deliver analytics-related solutions to Ernst & Young clients across Asean.  In addition, you are required to communicate effectively with the project manager & team members in the region regarding the progress of the project and be a role model to the team members in exhibiting the Ernst & Young best practices.  At Ernst & Young, the true value lies in embedding analytics deeply into business processes at the point of where decisions are made – by human beings.   Your key responsibility:   This is a role where no two days are the same – so you’ll find yourself taking on plenty of new responsibilities as you go. You’ll work alongside clients and colleagues, balancing your time between developing security strategies, advising stakeholders, providing workshops and supporting business development. If you’re flexible and ready to adapt to a constantly changing environment, there’s no better place to develop your skills. Since you’ll be working directly with clients, some travel will be required.  Skills and attributes for success  Analytical and problem-solving skills combined with experience in leveraging data analytics to drive insights and business decisions.  Analyze client’s business and supply chain requirements Develop supply chain optimization models and statistical analysis using packaged as well as custom optimization software tools (e.g. LLamasoft Supply Chain Guru, LLamasoft Transportation Guru, SAS, R, Python, GAMS)  Analyze and interpret optimization results and derive insights  Communicate technical insight from analytics and modeling to senior executives in a business-oriented and pragmatic way  Provide critical thinking and subject-matter expertise to quantitative and qualitative aspects of client engagements Strong attention to details and ability to multi-task. A strong work ethic. A willingness to travel to meet client needs; travel is estimated at 20%. ","RequirementsTo qualify for the role you must have  BS in Engineering or Computer Sciences 1 - 3 years of working experience in consulting, analytics software-as-a-service or technology industry. Strong experience in solving supply chain planning and design problems using quantitative approaches Working knowledge of commercial network design tools such LLamasoft SCG, IBM LNP or similar  Advanced data analysis and processing skills in MS Access, Excel, and SQL Familiarity with custom optimization engines such as GAMS, LINDO, CPLEX Working knowledge on a statistical package such as SAS, SPSS, R or Python  Working knowledge of visualization tools like Tableau, QlikView or any other BI solution. Strong understanding of supply chain design levers and metrics Understanding of supply chain planning at strategic, tactical and operational level  Fundamental understanding of science behind optimization Articulate, with excellent oral and written communication skills. Adaptable, able to interact and build strong relationships with people from a diverse range of backgrounds. Intellectually rigorous, with strong analytical skills and a passion for data. Sound logical reasoning and deep thinking ability. Ability to work accurately to a high level of detail.  Ideally, you’ll also have  MS in Operations Research, Industrial Engineering, Decision Sciences, Engineering or Computer Sciences (preferred) Supply Chain certifications such as CSCP / CPIM are a plus  We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, and a range of programs and benefits designed to support your physical, financial and social wellbeing. Plus, we offer:    What working at EY offers We’re interested in flexible professionals with excellent problem-solving skills and the ability to prioritise shifting workloads in a rapidly changing industry. You’ll also need the confidence to give professional advice and guidance to colleagues and clients from a diverse range of cultures, often with limited information – both verbally and in writing. If you’re a fast learner, with strong influencing skills and a genuine passion for information system security, this role is for you.   What we look for  Support and coaching from some of the most engaging colleagues around. Opportunities to develop new skills and progress your career. The freedom and flexibility to handle your role in a way that’s right for you.    About us   EY is a global professional services organisation providing advisory, assurance, tax and transaction services. We are committed to doing our part in building a better working world for our people, our clients and our communities. And we are united by our shared values and a dedication to delivering exceptional client service.   Want to get to know us better?  Visit www.ey.com/SG/careers  Become a fan on Facebook: http://www.facebook.com/EYSGcareers  Connect with us on Linked In: http://bit.ly/EYLinked_Careers  Watch us on YouTube: http://www.youtube.com/ernstandyoungglobal    We regret that only shortlisted candidates will be notified.  © 2017 Ernst & Young Advisory Pte. Ltd. All Rights Reserved."
Company Undisclosed,Data Analyst, JOB-2019-0083408 ,Contract,"$3,500to$4,500",Monthly,Non-executive,Professional Services,Roles & Responsibilities Run internal tools to make sure the data within the system is accurate Perform integrity checks on key data using in-house CRM tools Answer customer queries through phone calls and emails in a timely manner Translate content in Vietnamese language into English for the team Other ad-hoc duties ,Requirements Degree holder with working experience in problem solving roles is preferred Strong interest in technology products Business language proficiency in Vietnamese (IVPT B2 or equivalent) to liaise with local country’s counterparts Meticulous with good attention into details Able to exercise own judgement in a fast pace working environment 12 months renewable contract 
QUEST GLOBAL SERVICES PTE. LTD.,DATA ANALYST, JOB-2019-0082962 ,Contract,"$5,000to$6,800",Monthly,Professional,Information Technology,"Roles & ResponsibilitiesAs a Data Analyst you will be responsible for providing Business Intelligence as well as BI tools. Duties include gathering and documenting requirements, designing solutions, and delivering allocated projects in accordance with project plans. In this role you will lead time reduction to avoid work engine scope creep. Your responsibilities will include:  Data Cleaning and Integration Data Analysing Data Modelling & Visualization Support Reporting of Data through Dash Board using Power Business Intelligence (BI) Deploying BI technologies insights for business benefits Continual optimization of data monitoring tools, techniques, and processes Ensure customer data monitoring, analysis, and/or service level agreement requirements and documented and adhered to Collect, process, and perform statistical analyses of data Perform design, build and test verification and rollout of optimized data supply chains.  CONTRACT DURATION: 6 MONTHS","RequirementsBasic Requirements:  Diploma with 5+ years of Data Analysis, Data Science, Data Management, Data Analytics, and/or Database experience OR Bachelor's Degree with 2+ years of Data Analysis, Data Science, Data Management, Data Analytics, and/or Database experience Relevant experience in Data Analysis, Data Science, Data Management, Data Analytics, and/or Database experience in lieu of degree    Preferred Requirements:  Prior experience working on multiple concurrent projects with competing deadlines and considering customer’s needs while adjusting expectations to ensure successful delivery Experience working with internal and external stakeholders "
VIKI PRIVATE LIMITED,Data Analyst, JOB-2019-0081366 ,Full Time,"$6,000to$8,000",Monthly,Professional,Engineering,"Roles & Responsibilities Viki, a Rakuten Company (Japan Stock Exchange: 4755), is a global TV site with more than 32 million viewers a month watching the world’s primetime TV and movies, subtitled in 200 languages by a community of fans. With billions of videos viewed and more than 800 million words translated, Viki brings global entertainment to fans everywhere.  We are in search of a Data Analyst.  Reporting to the Director of Analytics, you will be joining a talented, collaborative team at the forefront of exciting new ventures in the digital media space.    Viki collects gigabytes of data daily in order to understand our users, learn about content trends and use it to guide our product strategy and marketing activities. As a Data Analyst, your job will be to work with large datasets and help various teams at Viki to effectively utilize this data for decision making. A successful candidate will enjoy working with big data sets and has a proactive and organized approach to solving problems. Essential duties and responsibilities may include, but are not limited to:   Work with various teams to understand their data needs and create useful reports and dashboards for them  Generate insights for Product and Growth teams by analyzing A/B tests and experiments data  Analyze content consumption data to help Content Marketing teams identify which shows perform well on Viki  Deep dive into big data and provide Business Intelligence/Analytics support to key business/financial initiatives company wide  Solve problems arising from dynamic data and changing requirements  Work with Developers and various Product teams to ensure that data collection and tracking has been correctly implemented   Any unsolicited resumes/candidate profiles submitted through our website or to personal email accounts of employees of Viki are considered property of Viki and are not subject to payment of agency fees.","Requirements  B.S. in Computer Science or similar applied technical field  Experience with SQL and Databases  Solid quantitative and analytical skills (prior experience with R, Matlab or Excel)  Interest in large scale data mining, reporting and insights mining  Experience with Hadoop or MapReduce is a plus  Prior experience with working in a web/mobile company is a plus "
